Log for:/srv/http/tid4k/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=#=# Propagation starts 2023-03-02T19:22:04Z (last step: 409 msec , total: 409 msec) 
#=#=#=# Syncrun finished 2023-03-02T19:22:04Z (last step: 9 msec , total: 418 msec) 
#=#=#=# Syncrun started 2023-03-02T19:28:18Z
#=#=#=#=# Propagation starts 2023-03-02T19:28:19Z (last step: 384 msec , total: 384 msec) 
2023-03-02T19:28:19Z | pages/pre_autorizare.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677785247 | 5ee77ee63dd828230269e1217c5cbae8 | 1384 | 00194476oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 3897 | 1677433921 | 4c3d464f-a5f4-410c-b159-eac442f89cf1 | 
2023-03-02T19:28:19Z | functions.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677785095 | 3ef4f1773f0589e374e7ab00f35b857b | 921 | 00194664oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 23ce184c-13c7-494b-a692-528fd5cf95e5 | 
#=#=#=# Syncrun finished 2023-03-02T19:28:20Z (last step: 815 msec , total: 1199 msec) 
#=#=#=# Syncrun started 2023-03-02T19:34:10Z
#=#=#=#=# Propagation starts 2023-03-02T19:34:11Z (last step: 890 msec , total: 890 msec) 
#=#=#=# Syncrun finished 2023-03-02T19:34:11Z (last step: 11 msec , total: 901 msec) 
#=#=#=# Syncrun started 2023-03-02T19:39:44Z
#=#=#=#=# Propagation starts 2023-03-02T19:39:44Z (last step: 397 msec , total: 397 msec) 
2023-03-02T19:39:45Z | pages/default.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677785862 | e37e2922d96274d7ffa70dd29d462b97 | 1342 | 00194667oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ed2927ea-a8d9-49fe-8701-5d8199cf0d77 | 
#=#=#=# Syncrun finished 2023-03-02T19:39:45Z (last step: 901 msec , total: 1299 msec) 
#=#=#=# Syncrun started 2023-03-02T19:45:45Z
#=#=#=#=# Propagation starts 2023-03-02T19:45:46Z (last step: 863 msec , total: 863 msec) 
2023-03-02T19:45:46Z | pages/footer.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677786012 | 07cdef0dada3c73dc7c20da8ae367b94 | 64 | 00194668oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a9478397-689e-486d-8141-e395eb508eb2 | 
2023-03-02T19:45:46Z | pages/header.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677785998 | 03d0590589fa373c7a279cdd43f10c5a | 261 | 00194669oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 130ec1ef-5bf9-4f3f-8ce2-9eff0285b79f | 
#=#=#=# Syncrun finished 2023-03-02T19:45:46Z (last step: 911 msec , total: 1774 msec) 
#=#=#=# Syncrun started 2023-03-02T19:45:54Z
#=#=#=#=# Propagation starts 2023-03-02T19:45:55Z (last step: 1205 msec , total: 1205 msec) 
#=#=#=# Syncrun finished 2023-03-02T19:45:55Z (last step: 2 msec , total: 1208 msec) 
#=#=#=# Syncrun started 2023-03-02T19:55:32Z
#=#=#=#=# Propagation starts 2023-03-02T19:55:33Z (last step: 402 msec , total: 402 msec) 
2023-03-02T19:55:33Z | pages/grupa_mica.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677786929 | f88b0caf7a8bd61839cfd3d5755e8740 | 1098 | 00194670oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 7fa1142a-5db2-4565-af6b-7763e473c414 | 
#=#=#=# Syncrun finished 2023-03-02T19:55:33Z (last step: 789 msec , total: 1192 msec) 
#=#=#=# Syncrun started 2023-03-02T19:55:53Z
#=#=#=#=# Propagation starts 2023-03-02T19:55:54Z (last step: 701 msec , total: 701 msec) 
2023-03-02T19:55:54Z | pages/style.css | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677786950 | a68f70aa843edb989dd1e23b9532282f | 312 | 00194671oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 51019493-7c49-49be-b600-68d510bdc898 | 
#=#=#=# Syncrun finished 2023-03-02T19:55:55Z (last step: 802 msec , total: 1504 msec) 
#=#=#=# Syncrun started 2023-03-02T20:01:48Z
#=#=#=#=# Propagation starts 2023-03-02T20:01:48Z (last step: 851 msec , total: 851 msec) 
2023-03-02T20:01:49Z | pages/grupa_mare.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677787142 | ae164ed2fa8c399b40fbf9fce821797a | 1695 | 00194672oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ebe93938-8aeb-4295-b3ca-0994a807d093 | 
2023-03-02T20:01:49Z | pages/grupa_mijlocie.php | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1677787047 | 0a89f7a57e024540c64eeab3387dec1a | 1233 | 00194673oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 75042db5-3592-4c53-956c-211769d7f6b0 | 
#=#=#=# Syncrun finished 2023-03-02T20:01:49Z (last step: 851 msec , total: 1703 msec) 
#=#=#=# Syncrun started 2023-03-02T20:01:54Z
#=#=#=#=# Propagation starts 2023-03-02T20:01:54Z (last step: 801 msec , total: 801 msec) 
#=#=#=# Syncrun finished 2023-03-02T20:01:54Z (last step: 8 msec , total: 809 msec) 
#=#=#=# Syncrun started 2023-03-02T20:12:26Z
#=#=#=#=# Propagation starts 2023-03-02T20:12:26Z (last step: 425 msec , total: 425 msec) 
#=#=#=# Syncrun finished 2023-03-02T20:12:26Z (last step: 3 msec , total: 428 msec) 
#=#=#=# Syncrun started 2023-03-03T06:24:52Z
